Identifiant station;Nom de la Station;Nom de la ligne;Niveau de pollution aux particules;Niveau de pollution;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;stop_lon;stop_lat;point_geo;pollution_air;niveau;actions;niveau_pollution
IDFM:463150;Concorde;Métro 1;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3229614457982586;48.866557992949716;48.866557992949716, 2.3229614457982586;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:22126;Couronnes;Métro 2;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3805336747351005;48.86932051914457;48.86932051914457, 2.3805336747351005;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:monomodalStopPlace:411440;Creil;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.46892902764167;49.264185555044406;49.264185555044406, 2.46892902764167;station aérienne;Station aérienne;;station aérienne
IDFM:463166;Créteil - L'Echat;Métro 8;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.4494240470133732;48.79661108096057;48.79661108096057, 2.449424047013373;station aérienne;Station aérienne;;station aérienne
IDFM:463167;Créteil - Université;Métro 8;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.4505697455342568;48.78994285432577;48.78994285432577, 2.4505697455342568;station aérienne;Station aérienne;;station aérienne
IDFM:21943;Croix de Chavaux;Métro 9;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.4358546126745826;48.85799258515802;48.857992585158016, 2.4358546126745826;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:22151;Denfert-Rochereau;Métro 4;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.332128160437612;48.833922323059966;48.83392232305997, 2.3321281604376116;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:21970;Duroc;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3162247549746047;48.846756378087775;48.84675637808778, 2.3162247549746047;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463083;Duroc;Métro 13;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.3165350811763052;48.84699198555428;48.84699198555429, 2.316535081176305;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:21971;Eglise d'Auteuil;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.269111389021892;48.84714336145718;48.84714336145718, 2.2691113890218917;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:415484;Egly;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.2234625238542307;48.582715781664064;48.582715781664064, 2.2234625238542307;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:43074;Emerainville - Pontault-Combault;RER E;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.6185029398491153;48.80587944608123;48.80587944608123, 2.618502939849115;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:47906;Evry - Courcouronnes;RER D;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.430032909521453;48.62588794663492;48.62588794663492, 2.4300329095214526;pollution moyenne - incertitude faible;Pollution moyenne;;pollution moyenne
IDFM:462956;Exelmans;Métro 9;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.25967486021195;48.84262446525993;48.842624465259945, 2.25967486021195;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:22189;Félix Faure;Métro 8;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2918472203679703;48.84268433479664;48.84268433479664, 2.2918472203679703;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:47238;Fontenay-sous-Bois;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.463537806527943;48.8437885964859;48.8437885964859, 2.463537806527943;station aérienne;Station aérienne;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:monomodalStopPlace:43072;Gare d'Austerlitz;RER C;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.3678187675835294;48.840320356383955;48.84032035638395, 2.367818767583529;pollution moyenne - incertitude faible;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:47927;Gare de Chamarande;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.2151562718541644;48.51405318948937;48.51405318948937, 2.2151562718541644;station aérienne;Station aérienne;;station aérienne
IDFM:463046;Gare de Lyon;Métro 14;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.373100581933962;48.84467563174822;48.84467563174822, 2.373100581933962;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:22149;Gare du Nord;Métro 4;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3567688845720958;48.879510553130615;48.879510553130615, 2.356768884572096;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463182;Gare du Nord;Métro 5;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;Action(s) d'amélioration de la qualité de l'air en cours;;campagne de mesure ponctuelle;2.357342884924845;48.87968001223661;48.87968001223662, 2.357342884924845;pollution moyenne - incertitude faible;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:monomodalStopPlace:43082;Houilles - Carrières-sur-Seine;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.1851757042018707;48.92034757911033;48.92034757911033, 2.1851757042018707;station aérienne;Station aérienne;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:monomodalStopPlace:470540;Invalides;RER C;pollution faible;FAIBLE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.3126576509104404;48.8627130056211;48.8627130056211, 2.3126576509104404;pollution faible - incertitude faible;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:46366;Ivry-sur-Seine;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.391677280020743;48.813959134240896;48.8139591342409, 2.391677280020743;station aérienne;Station aérienne;;station aérienne
IDFM:22011;Jacques Bonsergent;Métro 5;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3611315892483544;48.87066646803471;48.870666468034706, 2.3611315892483544;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:monomodalStopPlace:43136;Jouy-en-Josas;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.164447836855006;48.76476006837849;48.764760068378486, 2.1644478368550066;station aérienne;Station aérienne;;station aérienne
IDFM:463077;Jussieu;Métro 10;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3549441843757584;48.8462878950311;48.8462878950311, 2.354944184375758;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:22170;Kléber;Métro 6;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.293146137248626;48.87148941293503;48.87148941293503, 2.293146137248626;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:46007;La Croix de Berny;RER B;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.3042107053612133;48.76171816323692;48.76171816323692, 2.3042107053612133;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:47046;La Hacquinière;RER B;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.1516106103390045;48.695299548452454;48.695299548452454, 2.1516106103390045;station aérienne;Station aérienne;;station aérienne
IDFM:22183;La Motte-Picquet - Grenelle;Métro 8;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.298745444388579;48.84950618174656;48.84950618174656, 2.298745444388579;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:462999;Laumière;Métro 5;pollution élevée;ELEVE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3793117790180998;48.885200886890324;48.88520088689033, 2.3793117790180993;pollution élevée - incertitude forte;Pollution élevée;Action(s) d'amélioration de la qualité de l'air en cours;pollution élevée
IDFM:monomodalStopPlace:45850;Le Bras de Fer;RER D;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.4520047548737254;48.62330639719716;48.623306397197155, 2.4520047548737254;pollution moyenne - incertitude faible;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:43237;Le Vésinet - Le Pecq;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.1221322323037644;48.897949510799684;48.89794951079969, 2.122132232303764;station aérienne;Station aérienne;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:monomodalStopPlace:58267;Les Boullereaux Champigny;RER E;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.5119908436076184;48.824863988161965;48.82486398816196, 2.511990843607618;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:58572;Magenta;RER E;pollution moyenne;MOYENNE;Évaluation : mesures permanentes;non;;https://www.transilien.com/fr/page-corporate/mesurer-la-qualite-de-lair-interieur;mesures permanentes;2.358695908637114;48.88081039411524;48.88081039411524, 2.358695908637114;pollution moyenne - incertitude faible;Pollution moyenne;;pollution moyenne
IDFM:483904;Mairie d'Aubervilliers;Métro 12;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3807826993163266;48.91373922580814;48.913739225808136, 2.3807826993163266;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:26602;Mairie de Montrouge;Métro 4;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.3195238357547407;48.81847190007368;48.818471900073675, 2.319523835754741;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:490841;Maison Blanche;Métro 14;pas de données;pas de données;Évaluation : impossible faute d’informations;non;;;;2.3589182598590392;48.821207868620746;48.82120786862075, 2.3589182598590392;pas de données;Pas de données;;pas de données
IDFM:monomodalStopPlace:43156;Maisse;RER D;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.393493661032251;48.39367132989446;48.39367132989446, 2.393493661032251;station aérienne;Station aérienne;;station aérienne
IDFM:22235;Malakoff - Plateau de Vanves;Métro 13;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.298295381702497;48.822207568040454;48.82220756804045, 2.298295381702497;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:463068;Malesherbes;Métro 3;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.309487846960011;48.88284002257779;48.88284002257779, 2.309487846960011;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:47940;Massy - Verrières;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.273978779055319;48.7349579552114;48.7349579552114, 2.273978779055319;station aérienne;Station aérienne;;station aérienne
IDFM:21975;Maubert - Mutualité;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3482193439276657;48.85010969451494;48.85010969451494, 2.348219343927666;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463226;Michel Bizot;Métro 8;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.402366739988004;48.83707743103579;48.83707743103578, 2.402366739988004;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:43164;Mitry - Claye;RER B;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.6422341369736606;48.9757479508066;48.9757479508066, 2.6422341369736606;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:45705;Musée d'Orsay;RER C;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.3266230348309267;48.86036557592747;48.860365575927474, 2.326623034830927;pollution moyenne - incertitude faible;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:43171;Nanterre Ville;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.1951176949049898;48.89501972616058;48.89501972616058, 2.19511769490499;station aérienne;Station aérienne;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:21919;Nation;Métro 9;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3959437210498136;48.84888521841715;48.84888521841715, 2.3959437210498136;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:22169;Nationale;Métro 6;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.3628579580876212;48.83318160406702;48.83318160406702, 2.362857958087621;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:47879;Neuville Université;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.078348820578231;49.01374275942672;49.01374275942672, 2.078348820578231;station aérienne;Station aérienne;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:monomodalStopPlace:46552;Nogent - Le Perreux;RER E;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.4939549579206104;48.839991175687295;48.839991175687295, 2.4939549579206104;station aérienne;Station aérienne;;station aérienne
IDFM:monomodalStopPlace:47886;Nogent-sur-Marne;RER A;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.471683791180998;48.834306538503405;48.834306538503405, 2.471683791180998;pollution faible - incertitude forte;Pollution faible;Action(s) d'amélioration de la qualité de l'air en cours;pollution faible
IDFM:monomodalStopPlace:474082;Noisy-le-Grand - Mont d'Est;RER A;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.550026754158765;48.84088525041221;48.84088525041221, 2.550026754158765;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:monomodalStopPlace:44201;Noisy-le-Sec;RER E;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.45919809568668;48.8966634168645;48.8966634168645, 2.4591980956866797;station aérienne;Station aérienne;;station aérienne
IDFM:22145;Odéon;Métro 4;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.339486020317896;48.85210334038093;48.85210334038093, 2.339486020317896;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:463246;Opéra;Métro 3;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3311289743015613;48.87150983278418;48.87150983278418, 2.331128974301561;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:22166;Pasteur;Métro 6;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.312792651441268;48.84248271828586;48.842482718285865, 2.312792651441268;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:21948;Pelleport;Métro 3B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.40160636134298;48.86842046799948;48.86842046799948, 2.40160636134298;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463230;Philippe Auguste;Métro 2;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.390497596745289;48.858089428135756;48.858089428135756, 2.390497596745289;pollution moyenne - incertitude forte;Pollution moyenne;Action(s) d'amélioration de la qualité de l'air en cours;pollution moyenne
IDFM:21951;Place des Fêtes;Métro 11;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.393139370360497;48.876723661973244;48.87672366197325, 2.393139370360497;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:24682;Place des Fêtes;Métro 7B;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3929596165073113;48.87693859004261;48.87693859004261, 2.392959616507311;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:22366;Place Monge;Métro 7;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3521548685787708;48.84266638564289;48.842666385642886, 2.3521548685787708;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463085;Plaisance;Métro 13;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3138604893443064;48.831750363067464;48.83175036306747, 2.313860489344306;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:monomodalStopPlace:47874;Poissy;RER A;station aérienne;station aérienne;;non;Action(s) d'amélioration de la qualité de l'air en cours;https://www.airparif.fr/;;2.040804469960689;48.93324983956547;48.93324983956547, 2.040804469960689;station aérienne;Station aérienne;Action(s) d'amélioration de la qualité de l'air en cours;station aérienne
IDFM:monomodalStopPlace:415091;Pont de l'Alma;RER C;pollution moyenne;MOYENNE;Évaluation : campagne de mesure ponctuelle;non;;;campagne de mesure ponctuelle;2.3003592740110994;48.862474963108035;48.86247496310803, 2.3003592740110994;pollution moyenne - incertitude faible;Pollution moyenne;;pollution moyenne
IDFM:462985;Pont de Levallois - Bécon;Métro 3;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.2803037531862502;48.897228316033186;48.89722831603318, 2.28030375318625;pollution faible - incertitude forte;Pollution faible;Action(s) d'amélioration de la qualité de l'air en cours;pollution faible
IDFM:22378;Pont Marie (Cité des Arts);Métro 7;pollution faible;FAIBLE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.357349968447059;48.8534147493624;48.85341474936241, 2.357349968447059;pollution faible - incertitude forte;Pollution faible;;pollution faible
IDFM:monomodalStopPlace:44411;Pontoise;RER C;station aérienne;station aérienne;;non;;https://www.airparif.fr/;;2.0957859968423524;49.046733375966845;49.04673337596684, 2.0957859968423524;station aérienne;Station aérienne;;station aérienne
IDFM:463234;Porte d'Auteuil;Métro 10;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2582807445955373;48.84790412362925;48.847904123629235, 2.258280744595537;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463276;Porte de Bagnolet;Métro 3;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.4087542211895427;48.864539372934466;48.86453937293447, 2.4087542211895427;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:463258;Porte de Champerret;Métro 3;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2921124821588448;48.88565239313385;48.885652393133846, 2.2921124821588448;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
IDFM:480541;Porte de Clichy;Métro 14;pollution moyenne;MOYENNE;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.313431869544054;48.89428867785142;48.89428867785142, 2.313431869544054;pollution moyenne - incertitude forte;Pollution moyenne;;pollution moyenne
